charger_id,timestamp,voltage,temperature,session_duration,error_code,charger_condition,days_since_maintenance,location,weather,failed
54,2026-03-17,232.2,60.5,14,2,H,180,Karachi,Rain,0
55,2026-03-16,234.2,67.7,13,0,L,180,Lahore,Hot,1
56,2026-03-22,228.8,46.6,49,2,H,180,Islamabad,Hot,0
57,2026-04-08,230.2,35.7,14,0,L,31,Islamabad,Hot,1
58,2026-04-12,230.5,50.8,100,2,H,81,Karachi,Rain,1
59,2026-03-16,235.5,52.6,13,0,L,180,Islamabad,Hot,1
60,2026-03-16,230.2,40.5,16,0,L,180,Islamabad,Hot,1
61,2026-04-09,232.0,43.0,19,0,L,64,Lahore,Clear,0
62,2026-03-23,228.8,47.8,32,2,H,0,Karachi,Clear,0
63,2026-04-13,227.0,37.5,100,1,M,86,Lahore,Humid,1
64,2026-04-03,234.8,49.6,12,0,L,180,Lahore,Humid,0
65,2026-04-04,227.0,43.6,62,0,L,69,Lahore,Humid,0
66,2026-04-12,224.0,34.5,31,2,H,19,Lahore,Humid,0
67,2026-04-10,232.5,52.0,24,0,L,78,Lahore,Clear,1
68,2026-04-08,225.0,27.9,19,2,H,100,Lahore,Clear,1
69,2026-03-20,233.5,64.7,10,1,M,125,Lahore,Clear,1
70,2026-04-09,232.2,59.9,13,0,L,85,Karachi,Hot,1
71,2026-03-26,231.8,59.9,17,1,M,73,Islamabad,Hot,1
72,2026-04-08,227.2,43.0,10,0,L,152,Lahore,Humid,0
73,2026-03-23,235.2,68.4,24,1,M,61,Lahore,Hot,0
74,2026-03-21,228.2,35.1,20,0,L,0,Lahore,Rain,1
75,2026-04-13,232.2,61.7,13,0,L,159,Lahore,Clear,1
76,2026-03-26,229.8,39.3,38,2,H,91,Lahore,Humid,0
77,2026-04-09,226.5,41.2,43,0,L,12,Lahore,Humid,0
78,2026-04-08,229.5,52.6,47,2,H,29,Islamabad,Rain,0
79,2026-03-19,236.2,70.2,17,2,H,112,Islamabad,Hot,1
80,2026-03-30,235.5,69.0,18,0,L,34,Lahore,Humid,1
81,2026-03-19,230.5,51.4,20,2,H,180,Islamabad,Hot,1
82,2026-03-26,231.8,63.5,22,0,L,117,Karachi,Hot,0
83,2026-04-07,235.2,69.0,11,1,M,69,Lahore,Rain,1
84,2026-04-09,235.5,63.5,22,1,M,180,Karachi,Humid,0
85,2026-04-03,232.2,61.1,13,1,M,88,Karachi,Hot,1
86,2026-03-23,226.0,31.5,23,0,L,180,Lahore,Hot,1
87,2026-04-06,233.2,59.9,100,0,L,31,Islamabad,Rain,1
88,2026-03-21,226.2,39.3,10,0,L,42,Karachi,Rain,1
89,2026-04-12,234.5,64.1,43,2,H,180,Lahore,Hot,1
90,2026-04-02,225.2,36.3,39,2,H,114,Karachi,Rain,0
91,2026-04-03,234.5,64.7,35,2,H,164,Karachi,Hot,0
92,2026-04-06,234.2,49.0,32,2,H,87,Karachi,Humid,0
93,2026-03-25,234.5,64.1,43,2,H,180,Karachi,Clear,1
94,2026-04-10,236.8,55.7,18,0,L,95,Islamabad,Rain,0
95,2026-04-13,235.2,69.0,20,0,L,180,Karachi,Clear,1
96,2026-04-04,239.8,73.8,31,1,M,146,Karachi,Hot,0
97,2026-03-26,231.8,64.7,11,2,H,20,Karachi,Hot,1
98,2026-03-17,228.2,44.2,31,2,H,70,Islamabad,Hot,0
99,2026-03-31,232.0,57.5,38,2,H,57,Karachi,Clear,0
100,2026-03-21,228.2,32.7,27,2,H,156,Karachi,Hot,0
101,2026-04-05,232.2,43.0,62,0,L,173,Islamabad,Rain,0
102,2026-03-24,233.5,64.7,10,1,M,125,Islamabad,Humid,1
103,2026-04-06,224.8,36.9,37,1,M,140,Islamabad,Humid,0
104,2026-03-29,227.0,31.5,100,2,H,166,Karachi,Rain,0
105,2026-04-13,229.2,43.0,61,2,H,77,Islamabad,Humid,0
106,2026-03-16,225.2,30.3,19,0,L,180,Islamabad,Clear,1
107,2026-03-27,233.5,52.6,100,0,L,170,Karachi,Hot,1
108,2026-04-11,230.2,41.2,23,2,H,164,Islamabad,Hot,0
109,2026-03-18,230.5,41.2,24,2,H,40,Karachi,Hot,1
110,2026-04-01,232.2,61.7,13,0,L,159,Lahore,Clear,1
111,2026-04-07,231.0,41.2,10,1,M,180,Islamabad,Clear,1
112,2026-04-06,229.0,39.3,22,2,H,124,Lahore,Clear,0
113,2026-03-15,225.8,36.3,35,1,M,111,Karachi,Rain,0
114,2026-03-16,231.8,43.0,25,0,L,85,Islamabad,Clear,0
115,2026-03-16,231.2,52.6,16,2,H,180,Karachi,Humid,1
116,2026-03-18,224.8,28.5,35,1,M,150,Lahore,Rain,0
117,2026-03-17,227.8,37.5,23,2,H,153,Karachi,Rain,0
118,2026-03-31,227.5,32.1,35,0,L,180,Islamabad,Rain,0
119,2026-04-11,236.8,53.2,26,0,L,91,Islamabad,Clear,1
120,2026-03-28,232.2,56.9,65,1,M,178,Lahore,Rain,0
121,2026-03-16,224.8,35.7,22,2,H,180,Karachi,Clear,0
122,2026-03-30,232.2,58.7,49,1,M,105,Islamabad,Clear,0
123,2026-03-25,230.8,51.4,29,2,H,180,Lahore,Rain,0
124,2026-04-08,233.0,62.3,51,1,M,180,Islamabad,Hot,1
125,2026-03-27,229.5,39.9,37,1,M,89,Islamabad,Hot,0
126,2026-03-15,230.8,59.3,58,1,M,180,Karachi,Rain,0
127,2026-04-08,234.5,63.5,28,1,M,180,Islamabad,Hot,0
128,2026-04-06,225.8,37.5,39,1,M,32,Karachi,Humid,0
129,2026-03-16,230.2,60.5,10,2,H,147,Islamabad,Humid,1
130,2026-03-16,231.2,43.6,50,0,L,12,Lahore,Clear,0
131,2026-04-04,231.0,40.5,20,1,M,64,Islamabad,Hot,1
132,2026-04-12,232.8,60.5,18,0,L,180,Karachi,Humid,1
133,2026-03-19,233.2,53.8,24,0,L,61,Karachi,Rain,0
134,2026-03-18,235.0,52.6,90,1,M,180,Lahore,Hot,1
135,2026-03-26,233.2,59.9,10,2,H,137,Islamabad,Humid,0
136,2026-04-09,231.2,52.6,16,2,H,180,Islamabad,Humid,1
137,2026-04-09,233.0,57.5,25,0,L,0,Lahore,Rain,0
138,2026-04-12,234.8,62.9,34,2,H,70,Islamabad,Clear,0
139,2026-04-11,234.5,51.4,29,0,L,78,Islamabad,Rain,0
140,2026-03-17,225.0,27.9,19,2,H,100,Karachi,Clear,1
141,2026-04-03,235.8,70.2,63,0,L,103,Islamabad,Humid,0
142,2026-03-24,225.5,35.7,20,2,H,93,Islamabad,Clear,0
143,2026-04-03,235.2,62.3,16,1,M,119,Lahore,Humid,1
144,2026-04-01,224.8,35.7,28,0,L,40,Lahore,Humid,0
145,2026-04-04,227.0,40.5,22,2,H,143,Karachi,Hot,0
146,2026-04-04,230.2,41.2,29,2,H,171,Islamabad,Clear,0
147,2026-04-04,232.5,57.5,14,1,M,0,Islamabad,Clear,1
148,2026-04-10,231.5,43.6,31,0,L,158,Islamabad,Clear,0
149,2026-04-10,238.0,71.4,39,0,L,180,Karachi,Rain,0
150,2026-03-24,238.0,69.0,11,1,M,68,Karachi,Hot,0
151,2026-03-15,231.0,62.9,18,1,M,107,Lahore,Hot,1
152,2026-03-20,235.8,70.8,100,1,M,71,Karachi,Hot,1
153,2026-03-25,228.2,37.5,24,1,M,147,Islamabad,Rain,0
154,2026-03-16,230.5,41.2,24,2,H,40,Islamabad,Clear,1
155,2026-03-21,232.2,61.1,13,1,M,88,Karachi,Clear,1
156,2026-04-03,232.5,57.5,40,2,H,72,Islamabad,Clear,0
157,2026-04-04,233.2,64.1,13,1,M,111,Islamabad,Hot,1
158,2026-04-04,233.2,59.9,16,0,L,119,Karachi,Hot,0
159,2026-04-04,233.2,64.1,13,1,M,111,Karachi,Humid,1
160,2026-04-01,229.0,39.3,35,1,M,121,Islamabad,Rain,0
161,2026-04-04,224.5,35.7,37,0,L,153,Islamabad,Rain,0
162,2026-04-02,225.2,29.7,19,1,M,0,Islamabad,Hot,0
163,2026-03-18,233.2,58.7,82,2,H,180,Lahore,Humid,0
164,2026-03-27,236.0,64.7,34,0,L,33,Lahore,Clear,0
165,2026-04-01,231.2,63.5,13,0,L,148,Lahore,Hot,1
166,2026-04-03,228.0,33.3,26,0,L,180,Karachi,Rain,0
167,2026-04-12,238.8,72.6,10,2,H,161,Lahore,Rain,1
168,2026-04-08,230.5,50.8,100,2,H,81,Karachi,Rain,1
169,2026-04-07,228.0,38.1,50,2,H,8,Karachi,Clear,0
170,2026-03-27,232.2,61.7,13,0,L,159,Lahore,Rain,1
171,2026-04-13,226.8,32.7,38,0,L,68,Lahore,Clear,0
172,2026-04-10,231.2,52.6,16,2,H,180,Lahore,Clear,1
173,2026-04-11,229.2,45.4,19,2,H,154,Islamabad,Clear,0
174,2026-04-02,235.8,53.8,20,2,H,180,Lahore,Hot,0
175,2026-03-31,228.8,48.4,37,0,L,18,Islamabad,Clear,0
176,2026-03-15,233.8,52.6,29,0,L,56,Karachi,Humid,0
177,2026-03-20,230.5,53.2,11,0,L,180,Islamabad,Rain,1
178,2026-04-02,232.5,61.1,10,2,H,101,Lahore,Hot,1
179,2026-04-03,227.2,41.8,37,1,M,128,Karachi,Rain,0
180,2026-03-15,235.2,62.3,16,1,M,119,Karachi,Clear,1
181,2026-03-22,232.8,53.8,28,2,H,31,Karachi,Hot,0
182,2026-03-31,227.2,43.6,10,0,L,76,Islamabad,Humid,1
183,2026-04-04,234.2,69.0,11,1,M,44,Lahore,Clear,1
184,2026-04-05,221.5,22.4,14,1,M,46,Karachi,Rain,0
185,2026-03-29,233.5,64.7,10,1,M,125,Karachi,Humid,1
186,2026-04-01,236.0,52.0,16,2,H,138,Karachi,Clear,0
187,2026-03-21,230.5,41.8,30,0,L,115,Islamabad,Humid,0
188,2026-03-30,221.2,22.4,96,2,H,105,Islamabad,Clear,0
189,2026-03-21,236.8,67.1,20,0,L,127,Lahore,Hot,1
190,2026-03-31,228.5,35.7,40,0,L,32,Islamabad,Clear,0
191,2026-03-18,233.0,62.3,17,2,H,130,Karachi,Hot,1
192,2026-03-26,226.5,38.7,23,0,L,20,Lahore,Clear,1
193,2026-03-27,232.8,52.0,19,1,M,88,Karachi,Clear,0
194,2026-03-18,235.5,52.6,13,0,L,180,Karachi,Rain,1
195,2026-04-04,233.8,61.7,49,2,H,122,Islamabad,Humid,0
196,2026-03-15,234.2,51.4,54,1,M,46,Lahore,Humid,0
197,2026-03-15,233.5,52.0,27,0,L,26,Islamabad,Humid,0
198,2026-03-21,230.2,51.4,46,0,L,145,Islamabad,Clear,1
199,2026-03-23,231.0,42.4,27,0,L,83,Lahore,Clear,0
200,2026-03-15,232.0,46.6,40,1,M,134,Karachi,Clear,0
201,2026-03-30,229.2,53.2,14,1,M,113,Karachi,Hot,1
202,2026-04-01,230.5,50.2,19,2,H,180,Lahore,Hot,1
203,2026-04-05,230.0,48.4,34,0,L,25,Karachi,Rain,0
204,2026-03-29,227.2,41.2,30,1,M,180,Lahore,Clear,0
205,2026-03-20,232.8,64.7,10,2,H,25,Lahore,Humid,1
206,2026-03-16,235.5,63.5,10,0,L,119,Islamabad,Humid,0
207,2026-03-23,234.0,62.3,55,2,H,116,Lahore,Rain,0
208,2026-03-18,233.0,61.7,25,0,L,56,Islamabad,Humid,0
209,2026-03-27,233.0,63.5,16,2,H,101,Karachi,Rain,1
210,2026-04-06,237.0,65.9,48,0,L,85,Karachi,Clear,0
211,2026-04-05,230.2,40.5,16,0,L,180,Karachi,Humid,1
212,2026-03-25,229.5,39.9,22,2,H,82,Karachi,Clear,0
213,2026-03-27,234.5,64.7,35,2,H,164,Islamabad,Hot,0
214,2026-03-25,231.8,64.7,11,2,H,20,Karachi,Humid,1
215,2026-04-02,227.5,38.7,22,1,M,119,Lahore,Hot,1
216,2026-03-22,232.8,55.1,59,2,H,121,Lahore,Humid,0
217,2026-03-21,230.0,60.5,19,1,M,142,Lahore,Clear,1
218,2026-04-08,225.5,37.5,26,2,H,171,Islamabad,Rain,0
219,2026-03-30,230.2,50.8,21,2,H,138,Karachi,Clear,0
220,2026-03-17,226.0,30.3,16,0,L,180,Karachi,Clear,1
221,2026-03-31,228.2,44.8,41,2,H,130,Karachi,Clear,0
222,2026-04-01,235.0,52.6,90,1,M,180,Islamabad,Humid,1
223,2026-04-11,227.8,32.1,30,2,H,134,Lahore,Rain,0
224,2026-04-10,234.8,51.4,37,0,L,168,Lahore,Hot,0
225,2026-03-29,230.2,60.5,10,2,H,147,Karachi,Clear,1
226,2026-04-11,228.5,37.5,21,1,M,157,Lahore,Humid,0
227,2026-03-31,228.0,38.7,58,2,H,24,Lahore,Hot,0
228,2026-03-25,227.8,32.7,13,2,H,169,Islamabad,Clear,0
229,2026-03-19,234.2,61.7,34,1,M,37,Islamabad,Hot,0
230,2026-03-30,229.2,53.2,14,1,M,113,Islamabad,Clear,1
231,2026-03-29,227.5,37.5,21,0,L,9,Islamabad,Hot,0
232,2026-03-24,237.0,68.4,77,0,L,130,Karachi,Hot,0
233,2026-03-28,233.8,65.9,13,1,M,180,Islamabad,Rain,1
234,2026-03-16,226.2,38.7,41,2,H,10,Lahore,Rain,0
235,2026-03-30,230.8,39.9,31,1,M,27,Karachi,Clear,0
236,2026-04-02,235.0,50.2,17,1,M,180,Lahore,Humid,1
237,2026-03-22,230.0,39.9,16,0,L,6,Lahore,Rain,0
238,2026-03-29,230.2,40.5,16,0,L,180,Lahore,Hot,1
239,2026-03-24,228.8,46.0,67,1,M,180,Islamabad,Rain,1
240,2026-04-13,234.5,64.1,43,2,H,180,Islamabad,Rain,1
241,2026-03-19,225.5,28.5,38,2,H,50,Karachi,Clear,0
242,2026-04-03,229.8,52.6,34,1,M,19,Karachi,Rain,0
243,2026-03-30,230.0,38.7,38,0,L,150,Islamabad,Rain,0
244,2026-04-04,232.2,56.9,23,1,M,101,Lahore,Hot,0
245,2026-04-09,229.8,46.6,52,0,L,146,Karachi,Rain,0
246,2026-04-05,233.5,50.8,82,0,L,180,Islamabad,Hot,0
247,2026-03-26,235.2,69.0,11,1,M,69,Islamabad,Rain,1
248,2026-04-06,226.2,32.1,20,0,L,180,Islamabad,Rain,1
249,2026-04-13,233.0,64.1,13,0,L,154,Lahore,Humid,1
250,2026-03-27,229.2,49.6,23,1,M,180,Islamabad,Rain,0
251,2026-03-23,233.2,61.1,53,2,H,180,Islamabad,Hot,0
252,2026-03-31,228.5,33.9,30,0,L,157,Islamabad,Hot,0
253,2026-04-03,232.8,64.7,10,2,H,25,Islamabad,Clear,1
254,2026-04-11,229.2,52.0,17,1,M,45,Karachi,Clear,1
255,2026-03-26,227.8,34.5,15,1,M,105,Karachi,Humid,0
256,2026-04-08,234.2,47.8,30,2,H,162,Islamabad,Hot,0
257,2026-03-19,233.2,58.7,11,1,M,39,Lahore,Hot,0
258,2026-04-07,234.5,64.1,43,2,H,180,Karachi,Hot,1
259,2026-03-26,226.8,43.6,33,1,M,50,Islamabad,Humid,0
260,2026-03-15,227.2,41.2,29,1,M,92,Karachi,Hot,0
261,2026-04-03,227.0,31.5,40,1,M,180,Karachi,Clear,0
262,2026-04-11,231.5,64.1,52,2,H,79,Lahore,Humid,0
263,2026-03-30,230.2,60.5,10,2,H,147,Islamabad,Clear,1
264,2026-04-13,235.2,70.2,10,0,L,148,Islamabad,Clear,1
265,2026-03-26,228.8,47.8,40,0,L,111,Lahore,Humid,0
266,2026-03-23,231.5,42.4,10,1,M,111,Lahore,Rain,1
267,2026-03-27,232.5,50.8,46,2,H,127,Islamabad,Rain,0
268,2026-03-31,226.0,32.1,17,1,M,180,Islamabad,Clear,0
269,2026-03-31,224.5,35.7,44,1,M,126,Lahore,Rain,0
270,2026-03-18,235.5,62.9,34,0,L,180,Karachi,Hot,0
271,2026-03-28,227.5,36.9,35,1,M,0,Karachi,Humid,0
272,2026-04-02,224.2,35.7,40,2,H,180,Lahore,Clear,1
273,2026-03-21,230.5,50.2,19,2,H,180,Karachi,Hot,1
274,2026-04-10,230.2,51.4,13,2,H,159,Lahore,Rain,1
275,2026-03-17,234.8,49.6,17,0,L,155,Karachi,Hot,0
276,2026-03-15,234.2,69.0,11,1,M,44,Karachi,Rain,1
277,2026-03-26,235.0,52.6,67,2,H,47,Islamabad,Clear,0
278,2026-03-29,231.5,43.6,41,0,L,180,Islamabad,Hot,0
279,2026-03-25,233.0,46.0,48,2,H,120,Karachi,Humid,0
280,2026-03-24,228.8,46.6,49,1,M,179,Karachi,Clear,1
281,2026-03-16,226.5,43.0,32,2,H,40,Islamabad,Hot,0
282,2026-04-09,224.8,36.3,48,0,L,122,Islamabad,Hot,0
283,2026-04-12,230.2,60.5,10,2,H,147,Islamabad,Rain,1
284,2026-03-18,229.2,52.0,18,2,H,180,Lahore,Clear,1
285,2026-03-31,233.0,62.3,17,2,H,130,Karachi,Clear,1
286,2026-03-31,233.8,59.3,25,2,H,70,Islamabad,Clear,0
287,2026-04-11,233.5,58.7,42,1,M,115,Karachi,Clear,0
288,2026-04-13,231.2,43.0,11,0,L,180,Lahore,Rain,1
289,2026-03-22,235.5,69.0,10,0,L,59,Lahore,Humid,1
290,2026-04-06,227.2,33.3,24,1,M,29,Islamabad,Clear,0
291,2026-03-28,235.0,52.6,90,1,M,180,Lahore,Rain,1
292,2026-04-07,229.5,38.1,32,2,H,84,Karachi,Humid,0
293,2026-04-12,233.0,63.5,16,2,H,101,Islamabad,Humid,1
294,2026-03-18,238.0,72.6,16,0,L,180,Karachi,Rain,1
295,2026-03-20,235.0,52.6,67,2,H,47,Karachi,Clear,0
296,2026-04-12,235.0,50.2,17,1,M,180,Lahore,Humid,1
297,2026-04-02,235.0,50.2,23,2,H,61,Lahore,Clear,0
298,2026-04-10,235.2,70.2,22,1,M,101,Lahore,Clear,1
299,2026-04-12,232.0,56.9,18,0,L,131,Lahore,Hot,0
300,2026-04-07,227.2,32.7,22,2,H,120,Lahore,Clear,0
301,2026-03-18,227.8,37.5,23,2,H,153,Islamabad,Hot,0
302,2026-03-17,238.0,69.6,31,0,L,111,Karachi,Humid,0
303,2026-04-03,238.8,73.2,38,2,H,139,Karachi,Rain,0
304,2026-03-20,237.8,71.4,22,1,M,180,Karachi,Hot,0
305,2026-04-10,234.5,50.2,26,0,L,62,Karachi,Rain,0
306,2026-04-06,232.2,61.7,14,1,M,134,Lahore,Humid,1
307,2026-03-21,230.5,51.4,20,2,H,180,Karachi,Clear,1
308,2026-03-28,229.2,53.2,14,1,M,113,Islamabad,Humid,1
309,2026-03-26,227.0,32.1,34,0,L,74,Islamabad,Rain,0
310,2026-03-30,229.0,46.6,20,1,M,180,Karachi,Humid,1
311,2026-04-03,231.2,52.6,16,2,H,180,Karachi,Clear,1
312,2026-03-22,231.0,41.2,37,2,H,180,Islamabad,Humid,0
313,2026-04-06,230.5,50.8,100,2,H,81,Islamabad,Clear,1
314,2026-03-16,238.8,72.0,22,1,M,180,Lahore,Hot,1
315,2026-03-27,229.0,49.0,49,0,L,180,Islamabad,Rain,0
316,2026-03-22,233.8,54.5,40,2,H,19,Lahore,Clear,0
317,2026-04-08,225.5,29.1,22,1,M,127,Lahore,Clear,0
318,2026-04-04,232.5,56.9,17,1,M,92,Lahore,Humid,1
319,2026-04-03,234.2,49.6,31,2,H,141,Lahore,Hot,0
320,2026-03-30,230.8,61.1,16,1,M,6,Lahore,Clear,1
321,2026-03-18,228.2,36.9,24,2,H,60,Karachi,Hot,0
322,2026-04-12,232.5,59.3,26,1,M,82,Islamabad,Hot,0
323,2026-03-30,235.2,70.2,22,1,M,101,Lahore,Humid,1
324,2026-04-03,234.5,64.1,43,2,H,180,Islamabad,Clear,1
325,2026-03-20,233.5,66.5,17,1,M,117,Islamabad,Humid,1
326,2026-04-10,239.5,73.8,35,2,H,58,Lahore,Rain,0
327,2026-03-18,225.0,36.9,22,1,M,103,Karachi,Rain,0
328,2026-03-30,231.0,48.4,52,2,H,55,Lahore,Clear,0
329,2026-04-06,226.5,32.1,74,2,H,24,Karachi,Hot,0
330,2026-04-06,229.8,52.6,32,1,M,71,Islamabad,Clear,0
331,2026-04-04,231.0,55.1,34,0,L,28,Karachi,Clear,0
332,2026-03-27,226.0,36.9,25,1,M,56,Karachi,Rain,0
333,2026-03-19,227.2,44.2,28,0,L,132,Karachi,Rain,0
334,2026-03-29,236.8,64.7,28,0,L,180,Islamabad,Hot,1
335,2026-04-09,225.2,29.7,35,2,H,180,Islamabad,Hot,1
336,2026-03-22,230.8,50.2,21,1,M,9,Karachi,Clear,0
337,2026-03-21,231.2,59.3,41,1,M,180,Karachi,Humid,0
338,2026-03-28,235.0,51.4,25,2,H,175,Lahore,Clear,0
339,2026-03-21,227.5,38.7,22,1,M,119,Karachi,Hot,1
340,2026-04-05,230.8,56.3,39,1,M,180,Lahore,Humid,0
341,2026-03-21,238.8,72.0,22,1,M,180,Karachi,Rain,1
342,2026-04-06,224.8,34.5,34,2,H,63,Lahore,Hot,0
343,2026-04-09,226.2,32.7,20,1,M,117,Islamabad,Hot,0
344,2026-04-13,228.0,38.7,58,2,H,24,Karachi,Humid,0
345,2026-04-01,237.2,68.4,63,2,H,132,Karachi,Hot,0
346,2026-04-13,236.5,53.2,23,0,L,134,Karachi,Hot,0
347,2026-03-24,232.0,57.5,42,1,M,157,Karachi,Hot,0
348,2026-04-01,233.5,61.7,35,2,H,89,Lahore,Hot,0
349,2026-03-28,233.0,55.7,60,2,H,59,Karachi,Hot,0
350,2026-03-24,238.8,72.0,22,1,M,180,Islamabad,Hot,1
351,2026-03-21,235.8,53.8,52,2,H,180,Islamabad,Hot,0
352,2026-04-13,233.8,58.1,22,1,M,82,Karachi,Hot,0
353,2026-04-09,232.2,43.0,62,0,L,173,Islamabad,Rain,0
354,2026-03-21,226.2,32.1,20,0,L,180,Karachi,Hot,1
355,2026-03-21,236.2,70.2,17,2,H,112,Karachi,Rain,1
356,2026-03-19,232.2,52.0,23,1,M,75,Islamabad,Rain,0
357,2026-03-15,232.2,61.7,16,1,M,126,Karachi,Clear,1
358,2026-03-28,233.2,62.3,34,1,M,143,Islamabad,Clear,0
359,2026-04-01,231.8,64.7,11,2,H,20,Lahore,Rain,1
360,2026-03-27,226.0,29.1,10,0,L,180,Karachi,Rain,1
361,2026-04-08,231.0,62.3,36,1,M,31,Lahore,Hot,0
362,2026-03-22,227.5,36.3,28,1,M,176,Islamabad,Clear,1
363,2026-03-22,234.8,50.2,10,1,M,118,Lahore,Humid,0
364,2026-03-24,233.5,64.7,22,2,H,130,Lahore,Clear,0
365,2026-03-31,236.2,54.5,100,1,M,143,Islamabad,Rain,1
366,2026-03-20,236.2,54.5,29,2,H,117,Lahore,Rain,0
367,2026-03-29,224.8,35.7,22,2,H,180,Lahore,Hot,0
368,2026-03-29,224.2,35.7,40,2,H,180,Islamabad,Hot,1
369,2026-04-08,234.0,62.9,11,1,M,85,Lahore,Clear,0
370,2026-03-30,231.5,62.9,17,0,L,163,Islamabad,Hot,1
371,2026-03-22,230.5,59.9,17,0,L,180,Lahore,Humid,1
372,2026-04-02,225.0,38.7,43,2,H,166,Islamabad,Humid,0
373,2026-04-03,228.5,41.8,100,0,L,143,Islamabad,Hot,1
374,2026-03-29,225.2,37.5,16,0,L,70,Lahore,Humid,0
375,2026-03-17,229.5,38.7,95,0,L,98,Lahore,Humid,1
376,2026-03-20,225.0,36.3,35,2,H,180,Lahore,Clear,0
377,2026-04-13,233.2,56.3,14,2,H,134,Karachi,Humid,0
378,2026-04-08,231.0,41.8,35,1,M,65,Karachi,Rain,0
379,2026-03-22,233.8,60.5,65,0,L,45,Karachi,Rain,0
380,2026-03-30,226.2,36.3,26,0,L,146,Islamabad,Clear,0
381,2026-03-29,232.5,61.1,17,1,M,180,Lahore,Hot,1
382,2026-03-27,236.5,65.3,10,1,M,180,Islamabad,Clear,1
383,2026-04-09,226.0,38.1,21,0,L,180,Karachi,Hot,1
